SP (Socialistische Partij),39093,8,16.19
Partij van de Arbeid (P.v.d.A.),29711,6,12.30
CDA,27160,5,11.25
Democraten 66 (D66),23422,4,9.70
VVD,22089,4,9.15
ChristenUnie,21124,4,8.75
PVV (Partij voor de Vrijheid),19340,3,8.01
Groninger Belang,15869,3,6.57
GROENLINKS,15701,3,6.50
Partij voor de Dieren,9078,2,3.76
Partij voor het Noorden,5173,1,2.14
50PLUS,4772,0,1.98
Seniorenpartij Groningen,2462,0,1.02
Groningen Centraal!,2182,0,0.90
Grunnegers veur Stad en Ommelaand,1498,0,0.62
Verenigde Communistische Partij,1238,0,0.51
Partij voor Mens en Spirit (MenS),828,0,0.34
Red het Noorden,405,0,0.17
Vrij Mandaat,334,0,0.14
totaal,241479,43,100
