VVD,178260,11,18.58
Democraten 66 (D66),149362,10,15.57
Partij van de Arbeid (P.v.d.A.),110001,7,11.47
PVV (Partij voor de Vrijheid),105031,6,10.95
SP (Socialistische Partij),101352,6,10.57
CDA,91525,5,9.54
GROENLINKS,68180,4,7.11
Partij voor de Dieren,45971,3,4.79
50PLUS,30638,1,3.19
ChristenUnie-SGP,25934,1,2.70
Ouderenpartij Noord-Holland,19763,1,2.06
Hart voor Holland,13452,0,1.40
Piratenpartij,9885,0,1.03
Vrouwen Partij (VP),5595,0,0.58
Multicultureel Plus Partij (M+),4222,0,0.44
totaal,959171,55,100
